#150 K	25mev	
#E	I	Err
6.5625	-1.79E-06	8.28E-06
6.6875	4.86E-06	8.34E-06
6.8125	5.84E-06	8.33E-06
6.9375	8.00E-06	8.46E-06
7.0625	1.23E-05	8.52E-06
7.1875	2.68E-06	8.74E-06
7.3125	1.65E-05	8.78E-06
7.4375	2.96E-05	9.18E-06
7.5625	1.24E-05	9.03E-06
7.6875	3.83E-06	9.09E-06
7.8125	1.77E-05	9.46E-06
7.9375	1.68E-05	9.39E-06
8.0625	4.75E-05	9.76E-06
8.1875	4.69E-05	9.75E-06
8.3125	5.60E-05	9.92E-06
8.4375	0.000110769	1.04E-05
8.5625	0.00011524	1.05E-05
8.6875	0.00015914	1.09E-05
8.8125	0.00019386	1.13E-05
8.9375	0.000221707	1.16E-05
9.0625	0.000260088	1.19E-05
9.1875	0.000308387	1.23E-05
9.3125	0.000330681	1.26E-05
9.4375	0.000359322	1.28E-05
9.5625	0.000428065	1.34E-05
9.6875	0.000385278	1.31E-05
9.8125	0.000405731	1.33E-05
9.9375	0.000410949	1.34E-05
10.0625	0.00040605	1.35E-05
10.1875	0.000384239	1.33E-05
10.3125	0.000356032	1.31E-05
10.4375	0.000299103	1.28E-05
10.5625	0.00026699	1.24E-05
10.6875	0.000233795	1.23E-05
10.8125	0.000203457	1.21E-05
10.9375	0.00012125	1.15E-05
11.0625	0.000143714	1.16E-05
11.1875	7.64E-05	1.12E-05
11.3125	4.52E-05	1.10E-05
11.4375	-1.88E-06	1.05E-05
12.0625	4.00E-05	9.97E-06
12.1875	7.30E-06	9.70E-06
12.3125	6.71E-06	9.65E-06
12.4375	-6.42E-08	9.46E-06
12.5625	4.75E-06	9.53E-06
12.6875	3.00E-06	9.33E-06
12.8125	1.27E-05	9.45E-06
12.9375	6.31E-06	9.36E-06
13.0625	2.57E-05	9.52E-06
13.1875	1.76E-05	9.48E-06
13.3125	3.24E-05	9.66E-06
13.4375	4.12E-05	9.73E-06
13.5625	7.06E-05	9.91E-06
13.6875	4.92E-05	9.67E-06
13.8125	8.33E-05	9.93E-06
13.9375	0.00011329	1.00E-05
14.0625	0.00010588	1.00E-05
14.1875	0.000124502	1.01E-05
14.3125	0.000169265	1.04E-05
14.4375	0.000192425	1.05E-05
14.5625	0.000225	1.07E-05
14.6875	0.000250027	1.08E-05
14.8125	0.00026085	1.07E-05
14.9375	0.000318457	1.10E-05
15.0625	0.000321935	1.10E-05
15.1875	0.000330877	1.10E-05
15.3125	0.000368668	1.12E-05
15.4375	0.00037018	1.11E-05
15.5625	0.00038362	1.11E-05
15.6875	0.000403983	1.12E-05
15.8125	0.00040506	1.11E-05
15.9375	0.000360561	1.07E-05
16.0625	0.000351178	1.06E-05
16.1875	0.000314136	1.03E-05
16.3125	0.000281699	1.00E-05
16.4375	0.000260218	9.77E-06
16.5625	0.000216842	9.45E-06
16.6875	0.000186317	9.24E-06
16.8125	0.000168281	9.13E-06
16.9375	0.000113778	8.71E-06
17.0625	7.50E-05	8.60E-06
17.1875	4.04E-05	8.35E-06
17.3125	2.59E-05	8.28E-06
17.4375	-5.00E-08	8.09E-06
