#E	I	Err
0.42	-6.83E-09	1.83E-06
0.46	2.81E-07	1.76E-06
0.5	3.10E-06	1.90E-06
0.54	8.35E-06	1.94E-06
0.58	1.12E-05	2.02E-06
0.62	1.81E-05	2.21E-06
0.66	2.29E-05	2.39E-06
0.7	2.95E-05	2.46E-06
0.74	3.06E-05	2.51E-06
0.78	3.89E-05	2.69E-06
0.82	4.26E-05	2.72E-06
0.86	4.33E-05	2.73E-06
0.9	4.15E-05	2.66E-06
0.94	4.37E-05	2.75E-06
0.98	3.90E-05	2.61E-06
1.02	3.96E-05	2.62E-06
1.06	3.34E-05	2.46E-06
1.1	2.46E-05	2.21E-06
1.14	1.71E-05	1.99E-06
1.18	8.92E-06	1.70E-06
1.22	3.96E-06	1.54E-06
1.26	-9.05E-09	1.34E-06
1.3	6.24E-08	1.32E-06
1.34	1.49E-09	1.31E-06
1.38	7.26E-07	1.37E-06
1.42	1.22E-06	1.34E-06
1.46	9.17E-08	1.26E-06
2.02	7.02E-08	9.36E-07
2.06	2.34E-06	1.16E-06
2.1	-1.46E-10	1.12E-06
2.14	7.97E-07	1.08E-06
2.18	4.70E-07	1.06E-06
2.22	3.40E-07	1.06E-06
2.26	1.27E-06	1.17E-06
2.3	4.70E-06	1.25E-06
2.34	4.81E-06	1.25E-06
2.38	5.85E-06	1.28E-06
2.42	8.97E-06	1.43E-06
2.46	1.05E-05	1.63E-06
2.5	6.34E-06	1.34E-06
2.54	5.30E-06	1.20E-06
2.58	3.10E-06	1.14E-06
2.62	3.28E-06	1.11E-06
2.66	2.18E-06	1.09E-06
2.7	1.34E-06	1.07E-06
2.74	-1.15E-09	9.85E-07
2.78	1.11E-06	9.85E-07
2.82	2.34E-06	1.08E-06
2.86	3.09E-06	1.07E-06
2.9	2.96E-07	1.11E-06
2.94	4.86E-07	1.03E-06
2.98	2.40E-06	1.08E-06
4.02	3.86E-06	1.64E-06
4.06	5.52E-06	1.64E-06
4.1	9.15E-07	1.34E-06
4.14	9.84E-07	1.43E-06
4.18	2.30E-06	1.50E-06
4.22	2.53E-06	1.73E-06
4.26	3.52E-06	1.69E-06
4.3	3.77E-06	1.74E-06
4.34	1.52E-06	1.63E-06
4.38	3.78E-06	1.67E-06
4.42	8.52E-07	1.40E-06
4.46	2.15E-06	1.56E-06
4.5	2.26E-06	1.45E-06
4.54	4.35E-06	1.47E-06
4.58	6.95E-06	1.91E-06
4.62	2.00E-06	1.66E-06
4.66	-9.02E-09	1.54E-06
4.7	3.30E-06	1.63E-06
4.74	4.08E-06	1.68E-06
4.78	6.89E-06	1.82E-06
4.82	3.95E-06	1.71E-06
4.86	3.98E-06	1.74E-06
4.9	1.00E-05	2.09E-06
4.94	1.33E-05	2.18E-06
4.98	2.24E-05	2.58E-06
5.02	1.96E-05	2.45E-06
5.06	2.00E-05	2.58E-06
5.1	1.30E-05	2.19E-06
5.14	7.24E-06	1.98E-06
5.18	6.92E-06	2.04E-06
5.22	1.66E-06	1.84E-06
5.26	9.23E-06	2.18E-06
5.3	3.80E-06	2.59E-06
5.34	2.39E-06	2.39E-06
5.38	3.28E-06	2.72E-06
5.42	7.40E-06	2.72E-06
5.46	6.52E-06	2.75E-06
5.5	9.53E-06	2.80E-06
5.54	8.34E-06	2.94E-06
5.58	7.17E-06	2.66E-06
5.62	6.06E-06	2.75E-06
5.66	4.38E-06	2.50E-06
5.7	4.74E-06	2.60E-06
5.74	1.53E-06	2.67E-06
5.78	2.78E-07	2.38E-06
5.82	2.53E-06	2.49E-06
5.86	7.11E-06	2.65E-06
5.9	4.03E-06	2.98E-06
5.94	4.42E-09	2.49E-06
5.98	1.27E-07	2.55E-06
